latitude,longitude
50.8374,128.651
50.8495,128.6369
50.8253,128.7983
51.0543,129.8509
50.8844,128.9449
50.8546,128.5542
53.3228,127.0644
53.3202,127.0795
50.5189,128.0962
50.0533,129.8124
50.4256,128.984
50.7927,129.9815
50.6279,129.8687
51.4599,127.9954
52.8768,127.4121
52.3131,126.4018
50.7518,129.799
53.7554,126.3926
52.8662,127.4549
50.4142,127.8646
51.0238,128.4167
52.9035,127.2159
52.0876,127.8717
51.6262,127.1924
50.3164,128.5446
50.0407,128.5064
51.2599,128.2921
50.2103,128.1168
51.0312,129.6127
51.1278,128.8785
50.8543,128.8225
50.0604,129.8937
50.1656,127.8316
50.6787,129.9776
50.4325,127.401
50.6263,129.9171
50.6351,129.7855
51.2915,129.0557
52.1317,129.5074
51.0454,128.3754
52.2196,129.3458
50.0851,129.8434
53.4602,126.8963
50.574,128.7962
52.8077,127.3646
53.3365,127.091
53.5288,126.7845
53.0026,127.1272
51.6341,128.0628
51.6504,127.2317
52.8557,126.6216
51.1341,128.9007
50.657,129.9821
50.114,129.8824
50.4275,129.0029
51.0394,128.3228
51.9811,129.3412
51.992,129.3282
51.9703,129.368
53.4443,126.8817
51.0683,129.5211
51.079,129.5152
50.7301,128.4571
53.3047,127.1274
53.7564,126.2876
52.8904,127.375
52.8077,127.3674
51.0558,129.5621
50.6307,129.9518
50.0872,129.943
50.0844,129.9584
52.8785,127.6472
50.3479,129.208
52.1692,126.5945
52.7589,127.2609
52.9164,127.4145
52.95,127.228
51.6195,128.0791
51.6788,128.0764
52.8495,127.6207
52.1354,128.4608
51.623,128.6105
53.1706,128.2666
51.258,128.308
50.677,127.4079
50.5195,128.6926
50.7708,129.6189
50.6617,129.7436
50.4166,128.4702
50.4069,128.4657
51.0678,129.6035
50.6896,129.9753
50.6268,129.7923
51.5289,129.0487
51.5227,129.0392
50.6329,129.8733
50.596,129.8855
51.4436,128.0094
53.4381,126.8935
51.5432,128.3237
51.0648,129.566
50.0835,128.3564
53.7583,126.3437
52.8603,127.1517
52.9759,127.2987
51.0257,128.3992
51.9974,127.8212
51.6302,127.1956
51.0866,129.9194
51.0343,129.6292
50.7017,129.6871
50.4554,128.3771
50.8027,129.1312
50.6369,129.9113
52.7768,127.3928
52.7449,127.3517
50.0806,129.8378
52.8382,127.1197
53.7973,126.3102
52.0615,127.8538
51.0426,129.9295
50.0184,129.7348
51.6633,127.2585
53.028,126.0038
53.5188,126.824
51.3646,129.4483
50.612,129.8237
50.3425,128.1677
51.0659,129.5827
51.5603,128.9034
51.5407,128.4047
52.217,129.3958
51.065,129.8893
50.1003,129.9117
50.9624,128.4364
53.4117,127.0547
51.0676,129.9081
51.0777,129.5645
51.5405,128.3318
51.54,128.2674
53.7113,126.624
50.0581,128.479
53.4316,126.901
53.3923,127.052
52.8288,127.3096
52.8804,127.6416
53.5347,126.9745
51.699,128.1057
52.8529,127.3981
51.8889,126.9566
51.6962,127.3209
51.7027,127.2723
52.18,128.4974
50.4073,128.035
51.6938,127.3347
50.87,128.447
50.7341,129.7526
51.0703,129.6033
50.7031,128.8389
50.4872,128.0996
52.7686,127.396
51.1839,128.9525
53.3065,127.1368
52.2239,129.406
50.0779,129.9082
51.549,128.329
52.8782,127.43
52.8861,127.4041
50.7202,129.8666
51.449,128.2986
53.757,126.2646
53.3974,127.0528
53.4338,126.9048
53.4607,126.8949
53.0058,127.2781
50.8341,128.7074
50.3796,128.8422
50.0161,128.4907
51.6024,127.3983
54.0715,126.5966
50.8581,128.7389
51.1624,128.4706
50.5216,128.868
53.4393,126.8974
52.8788,127.4246
51.0671,129.8958
51.1154,128.8212
50.8146,129.1322
50.0753,129.8521
51.5548,128.8891
52.7545,127.35
51.5606,128.323
51.1498,128.9715
52.7709,127.3005
50.1788,129.4885
50.6774,127.3312
52.8109,127.3161
53.4229,126.8929
53.5268,126.7693
53.0081,127.1095
51.7001,127.2643
51.6942,127.349
51.6324,127.2728
51.6341,127.1691
51.6737,127.2419
52.1336,128.4468
51.8848,126.9486
50.6472,128.2158
50.762,129.7177
50.7128,128.8437
50.3405,128.1433
50.4445,128.9919
51.5332,128.837
51.5622,128.8757
51.0854,129.5621
51.5532,128.356
51.4369,128.0289
53.3066,127.1268
52.7942,127.3742
51.4512,127.8999
50.003,129.7209
50.0837,129.9488
52.8057,127.3495
52.9068,127.3385
52.9037,127.2239
52.0861,127.8776
52.8722,127.6482
52.1317,128.4922
50.7079,129.6294
50.219,128.1392
50.7291,129.7368
51.1127,128.8521
52.8797,127.4326
50.7748,129.2225
50.968,128.4609
52.7722,127.3886
51.5579,128.3312
50.7049,129.8708
52.8584,127.4026
52.7801,127.3654
50.628,129.967
51.0567,129.5538
51.4729,127.966
52.7648,127.3061
52.8585,127.3942
52.8997,127.3568
50.6226,128.8112
53.5278,126.8921
51.8908,126.9272
52.1843,128.5083
52.1791,128.5616
51.6333,127.2213
50.3192,128.5293
51.0032,128.2954
50.86,128.7194
50.5181,128.8502
51.1301,128.948
52.7926,127.414
51.1686,128.8853
50.6143,129.8669
50.6353,129.9867
51.5405,129.0121
51.303,129.0618
50.0889,129.8652
50.7776,129.2253
51.4436,127.9531
51.4542,127.9706
51.4495,127.9038
50.7597,129.799
52.863,127.4352
51.0737,129.9085
53.7095,126.6085
51.7338,127.3629
51.6508,127.29
51.6628,127.3574
52.16,128.5208
52.7751,127.467
50.0589,129.4233
50.0559,129.8907
50.7727,129.6046
51.1796,128.9458
50.0052,128.4719
50.0019,128.4619
50.6324,129.89
51.5149,129.0387
52.7832,127.3815
51.4635,127.9771
53.3999,127.0616
50.0795,129.9572
52.7816,127.3633
52.8643,127.4397
52.8624,127.4245
52.8913,127.4303
53.3954,127.0375
52.9096,127.2612
51.6989,127.3289
50.0361,128.528
51.653,127.3122
51.6432,127.2668
54.069,126.5929
50.5635,128.8478
53.5329,126.836
50.8474,128.5717
50.8527,128.5395
50.6916,129.6822
50.697,129.6783
50.5867,129.8317
50.0894,129.9172
52.8718,127.4387
53.4404,126.9044
50.6793,127.3452
51.4658,127.9837
53.5756,126.9274
52.7308,127.3339
52.8604,127.4093
52.0843,127.8727
52.8336,127.5565
51.8917,126.9344
52.1701,128.5151
50.6328,128.242
50.0654,129.8864
52.1399,129.5367
50.0497,129.8958
50.1158,129.9025
53.298,127.0867
50.642,129.8917
50.0964,129.9133
51.1449,128.7837
51.4516,127.9602
52.7318,127.3773
51.5812,128.311
53.7631,126.31
52.8847,127.2818
50.6573,129.0777
52.8356,127.5405
52.1641,128.5496
50.8316,128.7758
50.6879,129.7433
53.3113,127.0755
50.0508,129.8185
52.8003,127.4079
51.4594,127.995
51.5167,129.0425
52.2174,129.4072
51.4502,127.9643
52.8858,127.3904
52.118,129.4882
52.7629,127.291
52.8846,127.2742
51.6833,128.1308
51.6896,128.1101
51.6926,128.1263
52.1681,128.5603
51.6657,127.3601
50.6917,129.6464
51.1391,128.9279
51.1493,128.8758
50.6478,129.8765
50.6462,129.9844
50.3423,128.1607
51.1088,129.5663
52.8016,127.4139
51.9768,129.3778
51.5547,128.2992
53.3228,127.0878
50.678,127.3345
52.7428,127.3662
53.5616,126.9647
52.8257,127.3583
52.8347,127.3552
52.8516,127.1657
52.9834,127.2732
52.8139,126.0808
51.6581,127.2904
50.4218,128.1013
52.1641,128.5404
52.1782,128.5547
52.7806,127.4543
50.6759,129.701
53.2622,126.5555
51.5512,128.9366
52.7699,127.3811
51.1362,128.8416
51.1309,128.8188
52.7251,127.3593
50.524,128.4014
51.0546,129.9067
53.5596,126.9493
53.7534,126.3775
53.7692,126.3554
52.1199,129.5047
52.8407,127.5479
51.6514,127.3058
51.6942,127.4026
54.0675,126.5754
50.7528,128.9704
50.7525,129.684
51.1589,128.8806
51.5438,129.0149
51.0912,129.4864
50.6401,129.9152
51.438,127.9846
51.5367,128.3676
52.8253,127.3743
53.402,127.0467
50.5758,128.8109
52.7417,127.3458
52.9002,127.2659
52.0551,127.8748
51.6117,127.2335
51.6579,127.2253
51.7043,127.3263
51.6942,127.3934
50.2081,127.8869
50.5212,128.854
50.7652,129.6414
53.7611,126.596
50.6784,129.8005
50.0457,129.8811
50.693,129.9449
52.877,127.3943
51.5705,128.8482
53.7115,126.6238
52.8167,127.3614
52.0674,127.8867
52.0256,127.8126
51.724,127.4056
51.6521,127.3636
51.6522,127.2545
50.0534,128.4087
50.835,128.7935
50.8282,128.758
50.7613,129.6319
50.8383,128.5746
53.3088,127.0906
50.5975,129.8294
50.0527,129.8389
50.4342,128.9943
50.3497,127.5643
50.6586,129.8743
50.6567,129.8534
50.0039,129.6546
50.0212,129.5858
51.4451,127.9844
50.6067,129.88
50.6885,129.9238
53.5666,126.9307
53.5776,126.9427
52.8984,127.4119
52.9145,127.3993
52.979,127.3327
51.6398,128.5565
52.1681,128.5601
50.6526,129.0552
50.7639,128.9642
50.7483,129.6532
50.6815,129.7642
50.3406,128.1503
51.5535,128.331
51.5601,128.3229
52.2278,129.4013
52.7878,127.3857
52.7339,127.3628
51.5616,128.8445
51.5866,128.2779
53.759,126.2797
53.4044,127.0343
52.9948,127.1727
51.6551,128.5684
50.417,128.0792
51.6391,127.1922
51.6047,127.3839
50.7377,129.7838
50.6489,129.9978
50.0551,129.8329
53.2602,126.5377
51.0874,129.5369
