latitude,longitude
51.1032,128.1343
49.3118,125.4856
49.8438,128.3046
49.8905,128.2525
49.9442,127.6867
49.4067,128.0561
48.9769,125.8414
48.0423,125.4721
48.6416,125.597
50.9391,128.5039
49.2355,129.9032
48.3326,125.2207
51.3875,128.3883
48.3617,125.2644
50.8116,128.4536
50.8613,127.9955
51.2557,128.8665
51.0303,128.055
50.0654,128.7526
50.0282,127.6656
48.8192,125.9349
48.3347,125.5865
48.2147,125.2588
48.3707,125.2541
51.2611,129.2472
50.8041,129.431
50.8894,128.3758
49.0323,125.7263
48.3391,125.8727
49.8336,129.5081
49.7318,129.3471
49.549,129.813
49.8358,129.5114
49.6261,127.9037
50.9477,129.3946
50.9071,128.1227
49.0116,125.704
49.138,127.2879
50.8964,128.3159
50.1656,128.446
49.4476,127.1229
49.318,125.4965
48.4993,126.1477
49.9236,127.6366
51.341,128.2405
48.6404,125.3837
48.6361,125.3755
48.3302,125.6589
50.5763,127.6077
48.8985,125.8497
48.3492,125.7993
48.3184,125.5672
51.9015,126.9156
50.2016,129.1954
51.6757,128.6905
48.7811,125.2281
51.4483,128.5578
50.3036,129.4754
48.8691,125.5961
50.6597,129.2613
51.4389,128.4663
49.1035,125.0338
48.8901,125.0051
48.3362,125.866
51.7264,127.1697
49.8439,128.841
49.9398,128.7418
50.7852,129.4288
50.9227,129.2797
49.5562,128.4463
49.3161,125.4867
50.0629,127.7437
49.406,128.1839
49.3845,128.091
49.4229,128.1629
49.1018,125.0628
49.0992,125.0563
48.6656,125.2049
48.5545,125.4895
49.3438,125.5898
48.818,125.5086
48.7277,125.557
48.5999,125.1532
48.608,125.0292
48.3605,126.2822
48.2909,125.3719
48.7509,125.1371
50.0149,128.9701
50.7245,128.7757
51.4335,128.702
51.7292,127.1795
51.1228,128.4746
48.8745,125.8287
48.4174,125.3684
50.4443,127.8411
50.8191,129.5114
50.8128,129.0467
49.3175,128.8822
49.398,128.5394
50.4206,128.1823
49.3163,125.5194
49.2166,125.4427
50.8938,128.331
50.1684,128.4307
50.9188,128.2417
49.331,125.5045
48.9697,126.6149
49.2761,128.5818
50.0643,127.4315
49.412,127.9585
48.2972,126.2
48.0565,126.9621
50.4939,127.5844
51.5956,128.7915
49.2327,129.9186
49.4557,128.3605
48.7396,125.6029
48.3782,126.2882
51.4696,128.3016
51.4981,128.5686
50.7898,127.8714
51.3425,128.3956
51.0356,128.1107
49.0355,125.1104
50.696,128.9818
50.6887,129.1037
50.8231,129.2188
50.0774,128.7595
48.5962,125.0366
48.5639,125.1261
48.4175,125.3686
50.7837,129.4858
51.7311,127.1589
48.401,126.6297
51.4344,128.7245
48.9595,125.4452
49.9716,128.5106
50.7776,129.1025
50.9489,129.345
49.4003,128.5454
49.1405,127.2735
49.284,125.4877
51.0612,127.96
49.411,128.1523
49.6033,129.8604
49.2396,125.4823
49.2472,125.4827
49.882,128.2488
48.97,126.6103
49.0884,128.443
48.1425,125.8383
48.9711,125.8161
49.9689,127.6433
48.1957,125.3307
48.1933,125.3448
51.492,128.6149
48.8196,125.7101
48.1231,126.3151
48.0715,125.7319
50.7892,129.1675
50.8128,129.1369
50.5465,128.2293
50.0381,127.6488
50.4776,128.701
49.4001,129.9349
49.2576,129.0204
48.7725,126.3457
49.7574,128.886
51.2593,129.2221
49.5398,127.8661
49.9908,129.0545
49.4093,127.486
49.3034,125.4805
49.5872,129.9128
49.8487,128.0843
49.311,127.8888
49.929,127.6295
48.5789,125.6446
48.7899,125.0443
48.6666,125.1386
48.2453,127.0843
48.328,125.5009
48.3641,125.2971
48.3618,125.2833
49.1247,126.0462
51.5694,128.1781
50.7183,129.9747
51.3775,128.3751
48.408,125.1355
51.4648,129.5285
49.9449,128.7257
49.8298,128.7559
51.4646,129.4939
51.4227,128.1872
48.6535,126.1812
49.5561,129.9225
50.8101,129.0312
49.5514,127.8677
50.4098,128.188
51.3673,128.9074
50.1737,127.4334
49.25,128.1924
49.3383,127.8391
49.3577,125.5708
50.6508,127.8073
49.9385,127.6348
48.7692,125.9194
48.1849,125.7499
51.2861,128.0938
48.8199,125.4951
48.0778,125.4992
51.4748,128.312
51.3439,128.4401
51.6771,128.7095
49.3516,125.5815
50.1599,128.5842
50.0209,127.6672
48.8883,125.0273
48.8018,125.25
49.9526,129.1963
49.9508,129.2121
51.6039,128.0895
49.9369,128.7257
49.9861,127.5912
50.9107,128.2643
48.4968,126.1265
49.0362,125.084
49.3878,127.929
49.4039,128.1975
48.7699,126.0639
48.3246,125.6641
51.9726,127.7216
48.8293,125.7035
49.4896,128.3289
48.7212,125.2121
48.699,125.3035
48.3674,125.291
48.2427,125.7032
48.649,125.0475
50.5875,127.9986
51.3604,128.3985
50.802,129.1479
49.8521,128.5475
48.8144,125.9568
50.8875,128.3934
50.4724,128.4736
49.46,129.3155
51.0406,128.0532
51.2607,128.5017
50.2149,129.2832
51.3498,128.9498
51.0245,127.9885
51.3032,129.017
51.2867,128.2061
50.2743,128.0984
49.3225,125.5066
49.2442,125.4904
48.493,126.126
49.7223,127.2436
49.8217,128.0605
49.2688,128.5734
49.2301,125.4925
48.442,125.292
49.4209,128.1494
49.9754,127.6254
48.7607,125.935
48.283,126.2035
48.1949,126.4535
48.1469,125.833
48.8765,126.2416
50.7711,129.2492
50.4981,127.6044
51.2532,128.0903
50.092,128.3751
48.3118,126.4191
48.3277,125.2445
48.2564,125.3293
51.4922,128.5522
50.2164,128.0179
48.8504,125.0186
49.7193,128.1575
51.2859,128.3281
50.8231,129.2243
48.3505,125.1243
50.0587,128.7803
48.5597,125.1463
48.3934,125.1445
51.4451,128.6936
50.8194,129.4684
48.3343,125.8859
49.4038,129.9322
49.3062,125.4514
51.4671,129.509
51.4312,128.5381
49.6164,127.9082
49.6522,127.9853
50.4658,128.4689
50.1985,129.3155
49.2819,125.5013
51.3965,127.2926
49.4899,127.4229
49.3821,127.5598
50.909,128.2587
49.1044,128.4425
50.1522,128.3549
49.8934,127.1311
50.9065,128.0683
50.7551,129.2755
48.3015,126.3042
48.3167,126.0801
