latitude,longitude
52.4215,129.6956
52.3465,127.1169
52.4544,126.9579
52.3356,127.1054
51.7869,127.0587
53.4932,125.7859
52.7262,126.3354
50.0615,129.545
53.6995,127.2658
50.4874,128.4166
51.1499,128.22
53.4488,125.6085
50.4142,127.2806
50.1637,127.3401
50.232,128.0459
51.9078,126.8873
52.3445,127.1022
53.9521,124.9179
50.1514,127.6341
53.502,125.8035
53.9701,124.7906
53.4652,125.6303
50.2325,127.7244
53.9331,124.6845
53.5124,126.402
50.8245,129.2221
50.8945,128.3551
50.3292,127.1355
51.9194,129.3404
52.9295,126.1583
53.5074,125.7795
53.9327,125.0012
51.5275,128.9413
50.0848,127.4627
51.8704,129.0476
54.0025,124.9114
53.3315,126.304
53.3825,129.9311
51.1428,128.2492
52.3493,127.0863
53.9247,124.7294
53.9742,124.9262
50.3853,127.2196
50.4555,127.0412
51.7858,127.0792
51.8265,129.2413
51.336,129.0654
52.8715,126.2801
53.8744,124.8931
53.6793,122.8072
53.4992,125.7893
53.4357,126.9361
52.9975,127.4908
52.1828,128.3272
53.3259,126.3236
53.3697,129.9215
53.9315,124.8367
53.8538,124.9596
54.0373,122.8496
50.0719,125.3474
50.6135,128.2091
50.2338,128.06
51.6227,128.8297
51.6777,129.8412
53.0215,127.7017
53.4457,126.9302
53.5793,126.4287
53.3436,126.2796
53.528,126.3992
50.0313,127.3269
53.9654,124.7323
50.0807,127.4399
50.3781,128.5735
53.8338,121.7586
51.0544,128.2231
54.2557,124.2468
50.4235,127.1528
50.4575,127.0551
51.8135,129.2123
53.3425,126.9549
51.1643,128.2323
53.9492,124.7892
53.9153,124.97
53.9261,125.0088
51.8037,127.0804
53.2929,126.2267
50.0673,129.549
53.3721,129.9364
50.3803,128.5766
50.2617,128.0919
51.9257,129.3472
50.2154,129.6066
52.145,128.2998
53.6175,126.446
52.0152,126.5983
52.4772,126.4685
51.5357,128.9256
53.6012,126.3925
53.5256,126.3841
53.324,126.3482
53.555,126.8491
50.6039,128.2721
52.3609,127.1273
51.0519,128.2081
52.3365,127.1161
50.1884,128.5201
50.2277,128.298
51.954,126.4882
52.8695,126.2654
53.0234,127.7172
50.1329,129.631
50.7601,127.8794
50.7624,127.8936
52.8866,126.2654
52.4606,126.4829
53.5423,126.4626
53.5011,126.3995
53.4887,126.9411
52.9381,128.6385
52.3386,127.1017
53.6189,121.8479
50.2487,126.1943
51.679,129.8169
52.8684,127.2203
53.939,124.8287
53.8723,124.8783
51.9519,126.8339
53.9724,124.8188
50.6236,128.8017
52.8404,126.1826
52.2974,127.4503
53.4488,125.6224
54.2527,124.2388
50.1826,129.609
53.6142,126.3699
51.9562,126.8292
52.4718,126.4733
54.0066,124.9159
53.9909,124.7612
51.4355,128.2009
52.4963,126.4668
53.5203,126.419
53.3806,129.9487
53.4777,126.9299
52.3506,127.0929
53.0354,127.2345
53.8862,124.891
52.424,129.6808
51.6314,128.8551
50.2562,125.1522
50.2585,125.1663
53.9763,124.8286
50.131,129.6656
53.5805,126.4056
53.821,126.1691
53.9722,124.7689
53.5357,126.3861
51.351,128.9341
50.2743,128.1135
53.3257,126.3416
50.27,128.1002
53.9195,124.9369
50.1631,128.444
50.2136,129.5914
51.6528,129.8824
51.6547,129.8989
53.881,124.8746
53.961,124.8148
53.582,126.453
53.7961,120.8293
53.9483,124.8536
53.9761,124.7762
50.8969,129.281
53.3296,126.2773
52.6826,126.3927
51.4613,128.5801
52.9207,127.7691
53.6364,126.3755
52.4126,129.6917
50.7657,128.9346
51.9628,126.485
50.1381,129.6737
53.5479,126.4693
50.0596,127.3988
53.5902,125.5045
53.4844,126.9116
53.6254,126.3875
50.2607,125.1803
50.3215,128.0999
53.4467,125.6077
53.9718,124.9254
53.5756,126.4448
53.9223,124.995
53.7894,120.8161
53.5475,126.3706
51.8466,129.0117
54.0115,124.9068
53.9801,124.7829
53.9744,124.7506
53.9739,124.8036
53.536,126.4717
50.679,128.0287
51.9168,129.3434
50.1612,128.4298
52.2993,127.4652
53.6155,126.4309
53.6086,126.4494
53.9776,124.7578
51.5173,128.9231
53.946,124.7367
52.9293,128.6348
54.1504,124.1887
53.9408,124.8398
50.186,128.5343
51.6808,129.8333
52.4736,126.5096
53.6774,122.7808
53.5442,126.4406
53.8882,124.8744
50.4596,129.0343
51.6758,129.8248
53.9762,124.8919
53.5435,126.4193
53.5467,126.4557
52.5013,126.4968
50.0435,127.3782
53.9388,124.8565
53.8546,124.9488
51.1772,128.2409
53.7526,121.678
53.5471,126.3773
51.8482,129.0319
53.5433,126.3759
53.971,124.7874
54.0393,124.8403
53.6144,126.3996
50.4615,129.0491
50.3234,128.1141
51.7839,127.0648
53.9237,124.7246
51.9658,126.8324
53.7915,120.8385
53.7506,121.6544
53.576,126.4115
54.0336,124.8567
51.4415,128.1979
52.7356,126.3234
53.0507,127.7719
53.5215,126.9085
53.6032,126.3626
51.9701,126.8276
52.4788,126.5051
53.5804,126.3493
51.8056,127.0646
53.3473,126.2668
52.4873,126.4708
53.5028,126.3926
50.0824,127.4031
53.4865,126.9264
53.6453,126.3788
53.3445,126.9701
53.9784,124.9068
53.5625,126.4468
53.5909,126.3778
53.6821,122.785
52.8751,126.2542
53.9506,124.7274
50.2762,128.1416
