latitude,longitude
45.5399,132.0662
45.514,132.0619
45.4825,132.0606
45.3745,132.0594
45.395,132.0576
45.3997,132.0553
45.4039,132.0547
45.3561,132.0484
45.3222,132.0457
45.31,132.0439
45.402,132.0414
45.3643,132.0404
45.3688,132.0398
45.4761,132.0385
45.5159,132.0366
45.3585,132.0346
45.6857,132.0304
47.7981,132.0295
45.5361,132.029
45.3355,132.0282
45.3623,132.0277
45.469,132.0267
45.3241,132.021
45.3416,132.0183
45.34,132.015
45.3603,132.0149
45.5365,132.0137
45.6781,132.0104
45.5401,132.0083
45.4899,132.0071
45.5433,132.0066
45.6662,132.0061
45.6751,132.0033
45.5345,132.0009
45.625,132.0007
45.6804,131.9967
45.5424,131.9946
45.4879,131.9943
46.4679,131.9886
46.4701,131.9789
45.4948,131.9785
45.4875,131.9756
45.167,131.9676
45.5586,131.9569
45.0629,131.9525
45.2392,131.9513
45.4334,131.9444
45.686,131.9435
45.1701,131.9429
45.0609,131.9398
45.2371,131.9385
45.4781,131.9375
45.678,131.9367
45.2461,131.9356
45.2438,131.9318
45.1704,131.9289
45.5795,131.9274
45.1672,131.9271
45.1699,131.9263
45.2286,131.9245
45.4804,131.924
45.6914,131.9226
46.6347,131.9212
45.2124,131.9208
45.578,131.9196
45.1727,131.9152
45.1679,131.9135
45.6611,131.9134
45.1642,131.9097
45.1519,131.9077
45.1396,131.9062
45.0837,131.9056
47.9022,131.9039
45.0926,131.9026
45.2072,131.9022
45.1348,131.9018
45.6393,131.901
45.6876,131.8983
45.2106,131.8966
45.0923,131.8962
45.1592,131.8961
45.0728,131.896
45.0817,131.893
45.6859,131.892
45.369,131.8911
45.4924,131.891
45.0906,131.8899
45.7146,131.8896
45.3543,131.8888
45.3491,131.8839
45.4873,131.8833
45.0707,131.883
45.1404,131.8824
45.358,131.881
45.3658,131.8783
45.367,131.8782
45.4947,131.8775
45.0763,131.876
46.0558,131.8755
45.5055,131.8754
45.3567,131.8752
45.3382,131.8739
45.3471,131.871
45.6412,131.8699
45.356,131.8681
45.1387,131.868
45.3681,131.8648
45.5035,131.8625
47.7926,131.8622
45.5747,131.8618
45.359,131.8617
45.3361,131.861
45.1016,131.859
45.1339,131.8589
45.0858,131.8588
45.0667,131.8574
45.4946,131.8571
45.4569,131.8557
47.7151,131.8555
45.5606,131.8551
45.0946,131.8549
45.4007,131.8538
45.5956,131.8534
45.1037,131.853
45.081,131.8489
45.577,131.8482
45.4001,131.8471
45.1163,131.8459
45.1362,131.8452
45.4082,131.8444
45.4549,131.8429
45.1271,131.842
45.6382,131.8414
45.3986,131.8409
45.5935,131.8405
45.1297,131.8393
45.5017,131.8369
45.5435,131.8359
45.1395,131.8353
45.1386,131.8317
45.4062,131.8315
45.3877,131.8309
45.1357,131.8293
45.0847,131.8213
47.7174,131.8211
45.1183,131.8208
45.1409,131.8181
45.3857,131.818
45.0998,131.8178
47.7106,131.8175
45.3142,131.8169
45.0998,131.8144
45.0841,131.8142
45.1155,131.8136
45.319,131.8124
45.5453,131.8106
45.1112,131.8104
45.0932,131.81
45.1089,131.8096
45.4805,131.8094
45.3123,131.8092
45.0735,131.8092
45.1081,131.8082
45.4326,131.8073
45.4714,131.8063
45.0979,131.8053
45.3499,131.8015
45.6113,131.7996
45.5964,131.799
47.8541,131.7985
45.3658,131.798
47.9075,131.7975
45.5952,131.7973
45.0625,131.7973
45.4289,131.7971
45.4349,131.7938
45.0725,131.793
45.1032,131.7915
45.316,131.7914
45.3438,131.7908
47.702,131.7904
47.7156,131.7888
45.5292,131.7888
45.5722,131.7878
45.6321,131.7874
45.1109,131.7872
45.57,131.787
47.9183,131.7868
47.9122,131.7865
45.5201,131.7859
47.8521,131.7853
47.8535,131.7852
47.7089,131.7852
45.4269,131.7842
47.9094,131.784
47.8266,131.7834
45.0608,131.7833
47.7426,131.7813
45.1186,131.7809
45.0702,131.7808
47.7001,131.7799
47.8215,131.7796
45.2603,131.7794
45.3418,131.7779
45.1275,131.7778
47.7326,131.7777
45.4024,131.7765
47.8011,131.776
47.8413,131.7751
47.6982,131.7748
45.3933,131.7734
45.1014,131.7727
47.7926,131.7718
47.9095,131.7713
45.1138,131.7696
47.8468,131.7687
45.0686,131.7667
45.3397,131.765
45.078,131.7644
45.0875,131.7623
45.0725,131.7609
45.4949,131.7598
47.8399,131.7597
47.7284,131.7575
45.0628,131.7573
45.0625,131.7571
47.849,131.7552
45.0713,131.7545
47.9142,131.7526
45.0628,131.7515
47.7342,131.7499
47.842,131.7463
45.0753,131.7456
45.08,131.7453
45.0607,131.7446
47.9195,131.7433
45.4854,131.7422
45.0695,131.7421
45.4476,131.7368
47.7685,131.7346
47.7788,131.7336
45.6342,131.7331
45.2877,131.7316
47.7518,131.7314
45.2513,131.7312
47.7581,131.73
47.7996,131.7286
45.4942,131.7284
45.3856,131.7283
47.8155,131.7277
47.7885,131.7274
45.2683,131.7254
46.4886,131.7253
45.5099,131.725
45.4372,131.7247
47.7913,131.7245
45.4886,131.724
47.8073,131.7235
47.7679,131.7234
47.7551,131.723
47.8415,131.7227
47.8232,131.7225
45.384,131.7223
47.8896,131.7219
47.7707,131.7212
45.481,131.7207
45.697,131.7205
47.8509,131.7189
45.5055,131.7179
45.4874,131.7166
45.5224,131.7157
45.4934,131.7155
45.4724,131.7152
45.4964,131.7149
47.8894,131.7148
45.664,131.7143
46.4892,131.7138
45.3405,131.7104
45.4395,131.71
47.74,131.7098
47.8914,131.7083
45.479,131.7078
47.886,131.706
46.4815,131.7057
45.5342,131.7026
47.7533,131.7023
47.8579,131.7003
47.8576,131.6998
47.755,131.6985
45.6214,131.6983
45.3386,131.698
45.3384,131.6975
47.8668,131.6974
45.3005,131.6962
47.7529,131.6954
45.54,131.6951
45.4769,131.6949
45.548,131.6944
47.7618,131.6927
45.4714,131.6923
47.8316,131.6922
46.5725,131.6903
47.7748,131.6901
47.7612,131.6891
45.512,131.6877
47.7658,131.6875
47.856,131.6872
47.7706,131.6854
47.7568,131.6849
47.8549,131.6846
47.8448,131.6846
47.7503,131.6843
47.8648,131.6842
47.7511,131.6821
47.7801,131.6816
45.4356,131.6814
47.76,131.6794
45.5364,131.6792
47.8218,131.6754
45.5138,131.675
45.4464,131.6698
47.8701,131.6677
47.7773,131.6663
47.848,131.6656
45.5498,131.6631
45.3033,131.6596
47.7118,131.6592
45.3322,131.6587
45.4961,131.6583
45.2943,131.6574
47.869,131.6572
45.6014,131.6566
45.4486,131.6564
45.4442,131.6562
45.2974,131.6557
45.6553,131.6549
47.8719,131.654
47.7949,131.6523
45.4153,131.652
45.4242,131.6491
45.4917,131.6485
47.7187,131.6476
47.7098,131.6461
47.8291,131.6444
45.4686,131.643
45.425,131.6421
45.4997,131.6399
46.8338,131.6393
45.265,131.6387
47.8647,131.6378
46.519,131.6318
45.5059,131.6303
47.829,131.6272
45.301,131.6255
47.8665,131.6241
45.6504,131.624
46.5188,131.623
45.2713,131.6229
45.5053,131.6223
45.3911,131.6189
45.3263,131.6171
47.7673,131.6167
46.5161,131.616
45.4978,131.6157
45.2958,131.6133
45.306,131.6127
45.2821,131.6126
47.8608,131.6113
47.7641,131.609
45.3891,131.6059
47.7638,131.6015
45.3039,131.5996
45.2718,131.5987
47.7711,131.5982
47.7679,131.5903
45.1466,131.5873
46.653,131.5867
45.274,131.5854
45.4782,131.5847
45.3035,131.5813
45.2944,131.5782
45.472,131.5768
45.4272,131.5722
47.7534,131.5713
45.4208,131.5683
47.7404,131.5635
47.7651,131.5605
45.6062,131.56
45.4294,131.5588
47.7526,131.5574
47.756,131.557
45.4609,131.5568
47.7615,131.5547
45.48,131.5529
47.742,131.552
47.7676,131.5461
45.2808,131.5455
45.474,131.5447
45.4626,131.5413
45.2493,131.5408
45.0949,131.5408
46.8346,131.5407
45.8609,131.5385
45.6446,131.5325
45.283,131.5322
45.097,131.5291
45.8208,131.5272
45.4179,131.5128
47.8895,131.5056
45.8146,131.5042
45.4194,131.5002
45.4636,131.4942
45.4666,131.4933
45.2638,131.491
45.2671,131.4883
45.7394,131.4875
45.4224,131.4862
47.7238,131.4836
45.4615,131.4812
45.7406,131.4809
45.292,131.479
45.3751,131.4785
46.531,131.4718
45.1912,131.4667
45.2942,131.4658
45.1426,131.4591
45.1854,131.4589
45.5148,131.4543
47.2247,131.4537
45.3639,131.4497
45.2613,131.4482
46.885,131.4445
45.3618,131.4366
45.2586,131.4361
45.2635,131.435
45.2545,131.432
46.8868,131.4312
46.8784,131.4308
45.5635,131.4276
45.2565,131.423
45.8044,131.4147
45.5656,131.4145
45.4153,131.4141
45.3449,131.4075
45.7994,131.4067
45.5678,131.4013
45.3185,131.4009
46.5386,131.4003
46.7144,131.3943
46.5453,131.3925
46.5365,131.3872
45.3843,131.3839
47.8736,131.3814
47.8829,131.3772
45.0776,131.3744
45.3454,131.3714
45.3391,131.3688
45.3458,131.364
45.3478,131.3564
47.8716,131.3482
45.3457,131.3482
45.3415,131.3465
45.337,131.3451
47.8301,131.3443
47.207,131.3429
47.8739,131.3426
45.7076,131.3426
47.2167,131.3391
45.6999,131.3346
45.7093,131.3297
47.8935,131.3257
45.2686,131.3222
47.903,131.3218
45.7017,131.3216
47.9064,131.3213
47.8722,131.3204
47.8551,131.3201
47.8973,131.3188
45.5192,131.3177
45.5246,131.3174
47.8634,131.3173
47.864,131.317
47.8906,131.31
47.755,131.3088
47.7541,131.3078
47.2112,131.3064
47.9001,131.3061
45.1567,131.3057
47.8991,131.3049
45.5171,131.3047
47.8655,131.3041
45.5268,131.3041
47.862,131.3038
47.2214,131.3019
45.2463,131.3019
45.5261,131.3018
45.1573,131.2989
46.7404,131.2919
46.6689,131.284
47.2178,131.2835
46.7425,131.2788
45.1585,131.2781
47.8725,131.2668
47.882,131.263
46.7203,131.259
45.3768,131.2562
47.8696,131.2511
45.1804,131.2353
47.8181,131.2271
45.1984,131.2258
45.3649,131.2225
45.3706,131.1981
46.784,131.1958
45.3786,131.188
45.3775,131.1817
45.0683,131.1783
46.6884,131.1705
46.7992,131.1595
47.7619,131.1505
46.7075,131.1504
47.7446,131.1483
47.7894,131.1459
46.7106,131.1437
47.7526,131.1435
47.7441,131.1395
47.744,131.1392
47.784,131.1383
47.7081,131.1383
45.3416,131.1378
46.7096,131.1373
47.7741,131.1361
47.789,131.1315
47.2387,131.1215
45.7676,131.1215
45.1952,131.1172
47.7806,131.1166
46.6056,131.1138
45.3268,131.1095
47.7942,131.1087
45.802,131.1077
47.9061,131.1044
47.7953,131.1037
46.7431,131.0994
47.8034,131.0976
45.7757,131.0958
47.7925,131.0921
47.7154,131.0921
45.0996,131.091
47.7978,131.0901
47.7875,131.0878
47.8029,131.0865
47.7191,131.0844
47.7137,131.0771
46.5977,131.0758
45.3688,131.0748
47.9011,131.0733
45.2302,131.072
47.91,131.0702
45.1185,131.0701
45.2212,131.0692
47.899,131.0599
45.1207,131.057
47.9079,131.0568
47.8577,131.044
47.8579,131.0339
47.8668,131.0309
46.8472,131.0306
47.9037,131.0302
47.854,131.0286
47.8811,131.0228
47.77,131.0224
47.9016,131.0168
47.8215,131.0124
47.49,131.0069
47.8995,131.0035
47.8233,130.994
47.8489,130.9917
47.7685,130.9911
47.8323,130.9908
47.8974,130.9901
45.3604,130.989
47.7933,130.9874
47.8377,130.9861
45.4955,130.985
47.8593,130.9838
46.8909,130.9835
47.7997,130.9822
45.2719,130.9821
47.8568,130.9794
47.847,130.9786
